30	32	0	0 0 1 1 
95	95	50	1 0 1 1 
29	34	49	0 0 1 1 
18	26	44	0 0 0 0 
232	239	1	1 0 0 0 
30	31	8	0 0 1 0 
240	246	30	0 0 1 1 
68	70	27	0 1 0 0 
215	221	19	0 1 1 1 
81	86	34	1 0 1 0 
25	34	49	0 0 0 0 
19	21	43	0 1 1 1 
7	13	14	1 1 0 0 
68	75	33	1 0 0 0 
22	28	23	0 1 0 0 
85	88	18	0 0 1 1 
244	252	14	0 1 1 1 
88	92	46	0 0 0 0 
8	16	17	1 1 0 1 
56	60	3	1 0 1 1 
188	194	12	1 0 1 1 
168	176	30	0 1 1 1 
36	36	9	0 1 1 0 
242	246	10	0 0 0 0 
183	183	20	0 1 1 0 
46	53	2	1 1 1 1 
106	106	33	1 1 0 0 
160	163	3	0 1 1 1 
207	207	14	1 1 1 0 
237	244	29	1 0 0 0 
136	138	48	1 0 0 1 
71	74	49	1 1 1 1 
106	113	18	0 0 1 1 
54	56	12	0 0 1 1 
239	239	0	1 1 1 0 
140	142	22	1 0 1 1 
203	210	7	0 1 0 1 
118	122	35	1 1 0 0 
208	212	2	0 1 0 0 
117	123	40	0 1 1 0 
138	147	33	0 0 1 0 
91	93	34	0 1 0 1 
4	10	30	0 1 0 0 
80	82	32	0 1 0 1 
64	64	6	1 0 0 1 
244	248	17	0 0 1 0 
40	44	6	1 1 1 0 
162	169	49	0 0 0 0 
0	5	50	0 0 0 1 
87	93	33	1 0 1 0 
250	250	19	1 0 1 1 
98	105	21	0 0 1 0 
93	93	42	1 0 1 1 
53	61	48	1 1 0 0 
172	178	43	0 0 0 0 
78	83	43	1 1 0 0 
62	64	3	0 1 1 0 
72	73	9	1 0 0 1 
68	70	14	0 1 0 0 
238	245	21	1 0 1 1 
206	208	7	1 1 0 1 
117	117	30	1 0 1 1 
68	74	33	1 1 0 0 
208	215	6	0 0 1 1 
220	224	16	1 1 0 1 
190	198	38	0 1 1 1 
184	192	30	1 0 0 0 
127	129	23	0 1 0 1 
242	248	17	1 1 0 0 
176	184	24	0 0 0 0 
226	231	5	1 0 1 1 
